Еліпс	255	136	322	204
Еліпс	393	146	461	215
Прямокутник	86	111	220	229
Куб	531	238	600	285
Куб	380	318	429	372
Куб	450	216	511	276
Прямокутник	171	204	295	376
Лінія з кружечками	394	103	495	130
Лінія з кружечками	418	63	506	129
Лінія з кружечками	594	141	697	299
Лінія з кружечками	682	368	504	414
Еліпс	316	94	347	148
Еліпс	348	203	371	251
Еліпс	648	117	693	151
Еліпс	692	250	766	306
Еліпс	743	396	791	473
Еліпс	479	501	577	543
Еліпс	262	473	356	541
Еліпс	402	438	446	498
Еліпс	209	415	324	460
Еліпс	87	442	140	499
Еліпс	17	266	108	360
Еліпс	148	320	174	392
Еліпс	105	373	148	434
Еліпс	162	451	202	507
Лінія	117	84	88	121
Лінія	211	99	264	137
Лінія	296	81	344	123
Крапка	59	66	65	76
Крапка	45	112	36	155
Крапка	43	173	68	183
Крапка	103	180	121	189
Крапка	138	158	181	104
Прямокутник	209	47	273	107
Еліпс	325	91	344	106
Еліпс	381	133	434	182
Еліпс	442	185	472	199
Лінія з кружечками	477	102	571	165
Крапка	44	88	44	88
Крапка	69	158	74	173
Крапка	74	189	76	191
Крапка	81	203	127	224
